episode,timestep,reward
9,2000,-1179.7035
19,4000,-1533.5741
29,6000,-1178.2383
39,8000,-1085.2571
49,10000,-1272.4901
59,12000,-1333.4585
69,14000,-1113.8477
79,16000,-1338.8325
89,18000,-1251.0727
99,20000,-1174.2872
109,22000,-1122.0333
119,24000,-1230.2308
129,26000,-1224.5116
139,28000,-1249.4035
149,30000,-1132.1142
159,32000,-1136.1486
169,34000,-1269.4939
179,36000,-1189.9645
189,38000,-1270.5343
199,40000,-1297.9048
209,42000,-1215.3566
219,44000,-1320.5571
229,46000,-1265.9248
239,48000,-1308.6984
249,50000,-1125.1013
259,52000,-1313.7197
269,54000,-1124.9452
279,56000,-1079.3751
289,58000,-1177.082
299,60000,-1150.9409
309,62000,-1249.1455
319,64000,-1139.4752
329,66000,-1171.6224
339,68000,-1165.1599
349,70000,-1138.4445
359,72000,-1183.7292
369,74000,-1165.2681
379,76000,-1138.9461
389,78000,-1198.5925
399,80000,-1274.9837
409,82000,-1224.9226
419,84000,-1265.9352
429,86000,-1036.4566
439,88000,-1242.0171
449,90000,-1061.2103
459,92000,-1168.9037
469,94000,-1139.6985
479,96000,-1131.7219
489,98000,-1245.5975
499,100000,-1227.5859
509,102000,-1106.0695
519,104000,-1157.3603
529,106000,-1107.0565
539,108000,-1095.8979
549,110000,-1193.5117
559,112000,-1097.2722
569,114000,-1152.7473
579,116000,-1052.7824
589,118000,-1011.7642
599,120000,-1140.0592
609,122000,-1141.44
619,124000,-1190.8181
629,126000,-1115.7722
639,128000,-1183.9778
649,130000,-1012.9055
659,132000,-1014.0007
669,134000,-1136.5117
679,136000,-938.0771
689,138000,-1124.4666
699,140000,-1096.9235
709,142000,-987.1184
719,144000,-953.5037
729,146000,-1071.5177
739,148000,-988.6519
749,150000,-1040.309
759,152000,-1004.934
769,154000,-939.7225
779,156000,-1076.2823
789,158000,-1029.1191
799,160000,-994.9389
809,162000,-1030.4264
819,164000,-999.1645
829,166000,-970.4736
839,168000,-949.756
849,170000,-950.1967
859,172000,-1036.5531
869,174000,-948.0046
879,176000,-970.3889
889,178000,-945.0713
899,180000,-984.999
909,182000,-915.1644
919,184000,-951.221
929,186000,-979.0736
939,188000,-971.5247
949,190000,-954.0997
959,192000,-888.4724
969,194000,-950.3214
979,196000,-927.2431
989,198000,-860.4982
999,200000,-892.5505
1009,202000,-870.8914
1019,204000,-945.0104
1029,206000,-874.6183
1039,208000,-906.4081
1049,210000,-917.5078
1059,212000,-878.0956
1069,214000,-801.6901
1079,216000,-836.0682
1089,218000,-780.0723
1099,220000,-807.0597
1109,222000,-873.1616
1119,224000,-711.5952
1129,226000,-774.916
1139,228000,-700.9214
1149,230000,-771.0575
1159,232000,-670.2541
1169,234000,-674.4462
1179,236000,-700.4474
1189,238000,-762.5036
1199,240000,-828.8718
