episode,timestep,reward
1,6000,7269.704
3,12000,6325.5745
5,18000,5787.115
7,24000,7105.2087
9,30000,6212.4187
11,36000,6652.4308
13,42000,6411.945
15,48000,4369.969
17,54000,5930.0133
19,60000,12220.0503
21,66000,4562.2318
23,72000,6872.8719
25,78000,6137.3754
27,84000,7015.2926
29,90000,7608.0985
31,96000,4736.5469
33,102000,7688.7064
35,108000,7441.8474
37,114000,14996.0249
39,120000,4905.9156
41,126000,7735.546
43,132000,6945.3284
45,138000,14317.5895
47,144000,14556.3863
49,150000,17612.0288
51,156000,14360.2533
53,162000,9614.8979
55,168000,13442.0695
57,174000,13682.0293
59,180000,14825.908
61,186000,3714.5621
63,192000,14680.4685
65,198000,18004.2092
67,204000,179.015
69,210000,17012.8482
71,216000,6852.096
73,222000,3331.9641
75,228000,6361.5933
77,234000,9635.7668
79,240000,5199.2184
81,246000,5637.864
83,252000,30123.6858
85,258000,16904.6995
87,264000,7079.6977
89,270000,9223.3508
91,276000,2236.1569
93,282000,9311.8429
95,288000,5648.6713
97,294000,17556.1594
99,300000,7967.5937
101,306000,32421.2439
103,312000,34995.1977
105,318000,40762.9229
107,324000,18903.0103
109,330000,15212.7199
111,336000,39349.4398
113,342000,1775.0581
115,348000,19079.7247
117,354000,23148.0181
119,360000,37477.6335
121,366000,31901.37
123,372000,34372.0737
125,378000,41709.6159
127,384000,25981.8903
129,390000,42271.2466
131,396000,17753.7866
133,402000,26709.5852
135,408000,19629.9416
137,414000,18584.7723
139,420000,47376.3668
141,426000,14385.9594
143,432000,15734.6621
145,438000,10959.8382
147,444000,20574.8828
149,450000,12887.4429
151,456000,12322.7908
153,462000,20176.8222
155,468000,15986.1318
157,474000,15736.6958
159,480000,18953.0371
161,486000,14332.1167
163,492000,16115.5501
165,498000,20098.7579
167,504000,13410.9612
169,510000,16126.6759
171,516000,13620.4029
173,522000,25480.9291
175,528000,17090.7158
177,534000,16453.2485
179,540000,21215.3133
181,546000,24437.3791
183,552000,16070.5813
185,558000,18789.8119
187,564000,12963.0054
189,570000,14542.9777
191,576000,21890.9706
193,582000,20559.0204
195,588000,23601.0863
197,594000,17852.8225
199,600000,18334.6127
201,606000,21602.1225
203,612000,21358.9203
205,618000,19608.0473
207,624000,21844.6145
209,630000,15853.665
211,636000,19543.6498
213,642000,35337.2769
215,648000,24830.8812
217,654000,17421.3762
219,660000,22010.0415
221,666000,23587.5259
223,672000,17485.8311
225,678000,21584.6755
227,684000,25574.1907
229,690000,20044.4031
231,696000,22839.5431
233,702000,17981.8971
235,708000,23029.3324
237,714000,19563.083
239,720000,20943.6697
241,726000,20930.0116
243,732000,20075.6165
245,738000,20466.3375
247,744000,18533.6149
249,750000,16442.0635
251,756000,23620.6567
253,762000,22555.5974
255,768000,20756.7536
257,774000,22424.179
259,780000,17243.5481
261,786000,22428.5831
263,792000,18506.4183
265,798000,19938.3177
267,804000,18800.2949
269,810000,25207.0673
271,816000,22532.3061
273,822000,20965.4902
275,828000,15751.2744
277,834000,21595.7434
279,840000,25402.0703
281,846000,22228.6186
283,852000,18667.7015
285,858000,19716.1532
287,864000,20648.1855
289,870000,24326.6284
291,876000,16075.4525
293,882000,21117.7984
295,888000,21101.4528
297,894000,17699.6344
299,900000,20282.8216
301,906000,18374.3243
303,912000,19945.5278
305,918000,24106.9723
307,924000,18994.059
309,930000,17171.6664
311,936000,20278.7828
313,942000,18572.082
315,948000,17083.3828
317,954000,22410.469
319,960000,21220.7132
321,966000,22016.3179
323,972000,20964.1112
325,978000,19391.816
327,984000,19068.8377
329,990000,22082.5859
331,996000,24079.661
333,1002000,17348.1071
335,1008000,22170.7023
337,1014000,20960.8019
339,1020000,23751.5236
341,1026000,20402.9528
343,1032000,22193.586
345,1038000,25140.4761
